OTU,active
Otu03257,transient
Otu03259,transient
Otu03260,transient
Otu03262,transient
Otu03264,transient
Otu03265,transient
Otu03267,transient
Otu03271,transient
Otu03274,transient
Otu03277,transient
Otu03280,transient
Otu03281,transient
Otu03282,transient
Otu03284,transient
Otu03285,transient
Otu03286,transient
Otu03287,transient
Otu03288,transient
Otu03290,transient
Otu03292,transient
Otu03295,transient
Otu03296,transient
Otu03299,transient
Otu03300,transient
Otu03301,transient
Otu03302,transient
Otu03303,transient
Otu03304,transient
Otu03307,transient
Otu03309,transient
Otu03311,transient
Otu03312,transient
Otu03314,transient
Otu03316,transient
Otu03317,transient
Otu03318,transient
Otu03319,transient
Otu03322,transient
Otu03324,transient
Otu03326,transient
Otu03327,transient
Otu03329,transient
Otu03330,transient
Otu03332,transient
Otu03334,transient
Otu03335,transient
Otu03336,transient
Otu03337,transient
Otu03339,transient
Otu03340,transient
Otu03343,transient
Otu03345,transient
Otu03346,transient
Otu03348,transient
Otu03350,transient
Otu03351,transient
Otu03352,transient
Otu03353,transient
Otu03354,transient
Otu03355,transient
Otu03356,transient
Otu03357,transient
Otu03359,transient
Otu03360,transient
Otu03362,transient
Otu03364,transient
Otu03366,transient
Otu03367,transient
Otu03371,transient
Otu03372,transient
Otu03374,transient
Otu03375,transient
Otu03377,transient
Otu03379,transient
Otu03380,transient
Otu03381,transient
Otu03382,transient
Otu03385,transient
Otu03390,transient
Otu03392,transient
Otu03394,transient
Otu03395,transient
Otu03396,transient
Otu03397,transient
Otu03403,transient
Otu03405,transient
Otu03406,transient
Otu03407,transient
Otu03409,transient
Otu03411,transient
Otu03412,transient
Otu03414,transient
Otu03415,transient
Otu03420,transient
Otu03421,transient
Otu03423,transient
Otu03424,transient
Otu03425,transient
Otu03426,transient
Otu03427,transient
Otu03428,transient
Otu03431,transient
Otu03433,transient
Otu03434,transient
Otu03435,transient
Otu03436,transient
Otu03438,transient
Otu03440,transient
Otu03441,transient
Otu03442,transient
Otu03444,transient
Otu03445,transient
Otu03447,transient
Otu03449,transient
Otu03459,transient
Otu03460,transient
Otu03463,transient
Otu03464,transient
Otu03465,transient
Otu03467,transient
Otu03469,transient
Otu03471,transient
Otu03472,transient
Otu03473,transient
Otu03474,transient
Otu03477,transient
Otu03478,transient
Otu03479,transient
Otu03480,transient
Otu03481,transient
Otu03482,transient
Otu03484,transient
Otu03485,transient
Otu03486,transient
Otu03489,transient
Otu03490,transient
Otu03491,transient
Otu03492,transient
Otu03493,transient
Otu03495,transient
Otu03502,transient
Otu03503,transient
Otu03504,transient
Otu03507,transient
Otu03508,transient
Otu03509,transient
Otu03510,transient
Otu03512,transient
Otu03514,transient
Otu03515,transient
Otu03516,transient
Otu03518,transient
Otu03519,transient
Otu03522,transient
Otu03524,transient
Otu03526,transient
Otu03528,transient
Otu03529,transient
Otu03530,transient
Otu03531,transient
Otu03532,transient
Otu03533,transient
Otu03535,transient
Otu03538,transient
Otu03539,transient
